source_group,final_split,images,negative_images,Channel,T-beam,HI-Beam,Angle Bar,Sheet Pile
-2024-04-08-175454.png,train,1,0,0,0,3,0,0
-2024-04-08-175552.png,train,1,0,0,0,4,0,0
-2024-04-08-175631.png,train,1,0,0,0,2,0,0
-2024-04-08-175642.png,train,1,0,0,0,2,0,0
-2024-04-08-175651_png.jpg,train,1,0,0,0,3,0,0
-2024-04-08-175704.png,train,1,0,0,0,3,0,0
-2024-04-08-175704_png.jpg,test,1,0,0,0,3,0,0
-2024-04-08-175718_png.jpg,train,1,0,0,0,4,0,0
-2024-04-08-175806.png,test,1,0,0,0,8,0,0
-2024-04-08-175806_png.jpg,train,1,0,0,0,8,0,0
-2024-04-08-175815_png.jpg,train,1,0,0,0,4,0,0
-2024-04-08-175838.png,test,1,0,0,0,6,0,0
-2024-04-08-175857_png.jpg,train,1,0,0,0,5,0,0
-2024-04-08-175906_png.jpg,test,1,0,0,0,2,0,0
-2024-04-08-180015_png.jpg,train,1,0,0,0,4,0,0
-2024-04-08-180035_png.jpg,train,1,0,0,0,4,0,0
-2024-04-08-180059_png.jpg,test,1,0,0,0,3,0,0
-2024-04-08-180117.png,train,1,0,0,0,2,0,0
-2024-04-08-180117_png.jpg,train,1,0,0,0,3,0,0
-2024-04-08-180136_png.jpg,test,1,0,0,0,2,0,0
-2024-04-08-180147_png.jpg,test,1,0,0,0,3,0,0
-2024-04-08-180157_png.jpg,train,1,0,0,0,3,0,0
-2024-04-08-180928.png,train,1,0,0,11,0,0,0
-2024-04-08-180928_png.jpg,train,1,0,0,10,0,0,0
-2024-04-08-180928_png_jpg,test,2,0,0,20,0,0,0
-2024-04-08-180937.png,train,1,0,0,10,0,0,0
-2024-04-08-180937_png,test,1,0,0,10,0,0,0
-2024-04-08-180937_png.jpg,train,1,0,0,10,0,0,0
-2024-04-08-180937_png_jpg,train,1,0,0,11,0,0,0
-2024-04-08-180945_png_jpg,train,3,0,0,30,0,0,0
-2024-04-08-180955.png,train,1,0,0,10,0,0,0
-2024-04-08-180955_png.jpg,train,1,0,0,10,0,0,0
-2024-04-08-180955_png_jpg,train,3,0,0,30,0,0,0
-2024-04-08-181001.png,train,1,0,0,10,0,0,0
-2024-04-08-181001_png,train,1,0,0,10,0,0,0
-2024-04-08-181001_png_jpg,train,1,0,0,10,0,0,0
-2024-04-08-181009.png,train,1,0,0,5,0,0,0
-2024-04-08-181009_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181009_png_jpg,train,2,0,0,10,0,0,0
-2024-04-08-181030.png,valid,1,0,0,4,0,0,0
-2024-04-08-181030_png.jpg,train,1,0,0,4,0,0,0
-2024-04-08-181030_png_jpg,train,4,0,0,18,0,0,0
-2024-04-08-181047.png,train,1,0,0,5,0,0,0
-2024-04-08-181047_png,train,1,0,0,5,0,0,0
-2024-04-08-181047_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181047_png_jpg,test,2,0,0,10,0,0,0
-2024-04-08-181056.png,train,1,0,0,3,0,0,0
-2024-04-08-181056_png.jpg,test,1,0,0,3,0,0,0
-2024-04-08-181056_png_jpg,valid,3,0,0,8,0,0,0
-2024-04-08-181107.png,train,1,0,0,3,0,0,0
-2024-04-08-181107_png_jpg,train,3,0,0,18,0,0,0
-2024-04-08-181115.png,train,1,0,0,3,0,0,0
-2024-04-08-181115_png.jpg,train,1,0,0,3,0,0,0
-2024-04-08-181115_png_jpg,train,3,0,0,10,0,0,0
-2024-04-08-181132.png,train,1,0,0,10,0,0,0
-2024-04-08-181132_png_jpg,train,2,0,0,20,0,0,0
-2024-04-08-181137.png,train,1,0,0,10,0,0,0
-2024-04-08-181137_png_jpg,train,1,0,0,10,0,0,0
-2024-04-08-181147.png,train,1,0,0,11,0,0,0
-2024-04-08-181147_png.jpg,train,1,0,0,10,0,0,0
-2024-04-08-181153.png,train,1,0,0,10,0,0,0
-2024-04-08-181153_png,train,1,0,0,10,0,0,0
-2024-04-08-181153_png.jpg,train,1,0,0,10,0,0,0
-2024-04-08-181153_png_jpg,train,3,0,0,30,0,0,0
-2024-04-08-181203.png,train,1,0,0,5,0,0,0
-2024-04-08-181203_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181203_png_jpg,train,1,0,0,5,0,0,0
-2024-04-08-181226.png,train,1,0,0,1,0,0,0
-2024-04-08-181226_png.jpg,train,1,0,0,10,0,0,0
-2024-04-08-181235.png,train,1,0,0,5,0,0,0
-2024-04-08-181235_png.jpg,test,1,0,0,5,0,0,0
-2024-04-08-181235_png_jpg,train,3,0,0,15,0,0,0
-2024-04-08-181248.png,train,1,0,0,10,0,0,0
-2024-04-08-181248_png.jpg,train,1,0,0,10,0,0,0
-2024-04-08-181248_png_jpg,valid,2,0,0,20,0,0,0
-2024-04-08-181302.png,train,1,0,0,4,0,0,0
-2024-04-08-181302_png.jpg,train,1,0,0,4,0,0,0
-2024-04-08-181302_png_jpg,train,3,0,0,12,0,0,0
-2024-04-08-181319.png,test,1,0,0,5,0,0,0
-2024-04-08-181319_png.jpg,valid,1,0,0,5,0,0,0
-2024-04-08-181319_png_jpg,train,2,0,0,12,0,0,0
-2024-04-08-181324.png,train,1,0,0,5,0,0,0
-2024-04-08-181324_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181324_png_jpg,valid,2,0,0,10,0,0,0
-2024-04-08-181332.png,train,1,0,0,5,0,0,0
-2024-04-08-181332_png_jpg,train,3,0,0,15,0,0,0
-2024-04-08-181337.png,train,1,0,0,5,0,0,0
-2024-04-08-181337_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181337_png_jpg,train,3,0,0,15,0,0,0
-2024-04-08-181342.png,train,1,0,0,5,0,0,0
-2024-04-08-181342_png.jpg,test,1,0,0,5,0,0,0
-2024-04-08-181342_png_jpg,valid,2,0,0,10,0,0,0
-2024-04-08-181353.png,train,1,0,0,5,0,0,0
-2024-04-08-181353_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181353_png_jpg,train,3,0,0,15,0,0,0
-2024-04-08-181358.png,valid,1,0,0,5,0,0,0
-2024-04-08-181358_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181358_png_jpg,train,1,0,0,5,0,0,0
-2024-04-08-181403.png,train,1,0,0,5,0,0,0
-2024-04-08-181403_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181403_png_jpg,train,3,0,0,15,0,0,0
-2024-04-08-181409.png,train,1,0,0,5,0,0,0
-2024-04-08-181409_png,train,1,0,0,5,0,0,0
-2024-04-08-181409_png_jpg,train,1,0,0,5,0,0,0
-2024-04-08-181425.png,test,1,0,0,5,0,0,0
-2024-04-08-181425_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181425_png_jpg,train,3,0,0,16,0,0,0
-2024-04-08-181430.png,train,1,0,0,5,0,0,0
-2024-04-08-181430_png.jpg,valid,1,0,0,5,0,0,0
-2024-04-08-181430_png_jpg,valid,1,0,0,5,0,0,0
-2024-04-08-181435.png,train,1,0,0,5,0,0,0
-2024-04-08-181435_png,train,1,0,0,5,0,0,0
-2024-04-08-181435_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181435_png_jpg,train,3,0,0,15,0,0,0
-2024-04-08-181441.png,test,1,0,0,5,0,0,0
-2024-04-08-181441_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181441_png_jpg,train,2,0,0,10,0,0,0
-2024-04-08-181446.png,train,1,0,0,5,0,0,0
-2024-04-08-181446_png.jpg,train,1,0,0,5,0,0,0
-2024-04-08-181446_png_jpg,train,3,0,0,13,0,0,0
-2024-04-08-181453.png,train,1,0,0,5,0,0,0
-2024-04-08-181453_png,train,1,0,0,5,0,0,0
-2024-04-08-181453_png_jpg,train,3,0,0,15,0,0,0
-2024-04-08-181514.png,train,1,0,0,5,0,0,0
-2024-04-08-181514_png_jpg,train,2,0,0,11,0,0,0
-2024-04-08-181520.png,train,1,0,0,5,0,0,0
-2024-04-08-181520_png,train,1,0,0,5,0,0,0
-2024-04-08-181520_png.jpg,test,1,0,0,5,0,0,0
-2024-04-08-181520_png_jpg,valid,3,0,0,15,0,0,0
-2024-04-08-181529.png,train,1,0,0,5,0,0,0
-2024-04-08-181529_png_jpg,train,1,0,0,5,0,0,0
-2024-04-08-181539.png,train,1,0,0,4,0,0,0
-2024-04-08-181539_png_jpg,train,1,0,0,3,0,0,0
-2024-04-08-181545.png,valid,1,0,0,7,0,0,0
-2024-04-08-181545_png_jpg,valid,1,0,0,3,0,0,0
-2024-04-08-181549.png,train,1,0,0,5,0,0,0
-2024-04-08-181549_png_jpg,train,3,0,0,15,0,0,0
-2024-04-08-181609.png,train,1,0,0,8,0,0,0
-2024-04-08-181609_png_jpg,train,2,0,0,18,0,0,0
-2024-04-08-181616.png,valid,1,0,0,7,0,0,0
-2024-04-08-181616_png,train,1,0,0,8,0,0,0
-2024-04-08-181616_png_jpg,train,3,0,0,24,0,0,0
-2024-04-08-181644.png,valid,1,0,0,7,0,0,0
-2024-04-08-181644_png.jpg,train,1,0,0,7,0,0,0
-2024-04-08-181644_png_jpg,train,1,0,0,8,0,0,0
-2024-04-08-181703.png,train,1,0,0,6,0,0,0
-2024-04-08-181703_png,train,1,0,0,8,0,0,0
-2024-04-08-181703_png_jpg,train,3,0,0,14,0,0,0
-2024-04-08-181724.png,train,1,0,0,4,0,0,0
-2024-04-08-181724_png_jpg,train,3,0,0,12,0,0,0
-2024-04-08-181729.png,valid,1,0,0,5,0,0,0
-2024-04-08-181729_png,train,1,0,0,4,0,0,0
-2024-04-08-181729_png_jpg,train,3,0,0,13,0,0,0
-2024-04-08-181739.png,train,1,0,0,5,0,0,0
-2024-04-08-181739_png_jpg,train,1,0,0,5,0,0,0
-2024-04-08-181746.png,train,1,0,0,5,0,0,0
-2024-04-08-181746_png,valid,1,0,0,5,0,0,0
-2024-04-08-181746_png_jpg,train,2,0,0,9,0,0,0
-2024-04-08-181752.png,train,1,0,0,5,0,0,0
-2024-04-08-181752_png,train,1,0,0,5,0,0,0
-2024-04-08-181752_png_jpg,train,3,0,0,14,0,0,0
-2024-04-08-181800.png,train,1,0,0,9,0,0,0
-2024-04-08-181800_png.jpg,test,1,0,0,9,0,0,0
-2024-04-08-181800_png_jpg,train,1,0,0,6,0,0,0
-2024-04-08-181805.png,train,1,0,0,5,0,0,0
-2024-04-08-181805_png.jpg,train,1,0,0,4,0,0,0
-2024-04-08-181819.png,train,1,0,0,10,0,0,0
-2024-04-08-181819_png_jpg,train,3,0,0,26,0,0,0
-2024-04-08-181825.png,valid,1,0,0,5,0,0,0
-2024-04-08-181825_png_jpg,train,1,0,0,4,0,0,0
-2024-04-09-190603.png,train,1,0,0,6,0,0,0
-2024-04-09-190603_png_jpg,train,3,0,0,15,0,0,0
-2024-04-09-190611_png_jpg,train,2,0,0,12,0,0,0
-2024-04-09-190619.png,valid,1,0,0,6,0,0,0
-2024-04-09-190619_png,train,1,0,0,6,0,0,0
-2024-04-09-190619_png_jpg,train,2,0,0,12,0,0,0
-2024-04-09-190630.png,train,1,0,0,5,0,0,0
-2024-04-09-190630_png_jpg,test,3,0,0,13,0,0,0
-2024-04-09-190637.png,test,1,0,0,6,0,0,0
-2024-04-09-190648.png,train,1,0,0,8,0,0,0
-2024-04-09-190648_png_jpg,train,1,0,0,8,0,0,0
-2024-04-09-190700.png,train,1,0,0,5,0,0,0
-2024-04-09-190700_png_jpg,train,3,0,0,15,0,0,0
-2024-04-09-190707.png,train,1,0,0,6,0,0,0
-2024-04-09-190707_png_jpg,train,1,0,0,6,0,0,0
-2024-04-09-190716_png_jpg,train,3,0,0,18,0,0,0
-2024-04-09-190723.png,train,1,0,0,4,0,0,0
-2024-04-09-190723_png_jpg,test,3,0,0,12,0,0,0
-2024-04-09-190738.png,train,1,0,0,5,0,0,0
-2024-04-09-190738_png,valid,1,0,0,5,0,0,0
-2024-04-09-190738_png_jpg,train,3,0,0,15,0,0,0
-2024-04-09-190744.png,train,1,0,0,6,0,0,0
-2024-04-09-190744_png_jpg,train,3,0,0,18,0,0,0
-2024-04-09-190750.png,train,1,0,0,6,0,0,0
-2024-04-09-190750_png_jpg,train,3,0,0,17,0,0,0
-2024-04-09-190757.png,train,1,0,0,6,0,0,0
-2024-04-09-190757_png_jpg,train,2,0,0,12,0,0,0
-2024-04-09-190957.png,valid,1,0,0,15,0,0,0
-2024-04-09-190957_png_jpg,train,3,0,0,43,0,0,0
-2024-04-10-131727.png,train,1,0,0,6,0,0,0
-2024-04-10-131727_png_jpg,train,3,0,0,18,0,0,0
-2024-04-10-131903.png,train,1,0,0,12,0,0,0
-2024-04-10-131903_png.jpg,train,1,0,0,11,0,0,0
-2024-04-10-131903_png_jpg,train,1,0,0,12,0,0,0
-2024-04-10-132132.png,train,1,0,0,7,0,0,0
-2024-04-10-132132_png,test,1,0,0,7,0,0,0
-2024-04-10-132132_png_jpg,train,3,0,0,22,0,0,0
-2024-04-10-132159.png,train,1,0,0,7,0,0,0
-2024-04-10-132159_png_jpg,train,3,0,0,21,0,0,0
-2024-04-10-132218.png,train,1,0,0,5,0,0,0
-2024-04-10-132218_png.jpg,train,1,0,0,5,0,0,0
-2024-04-10-132218_png_jpg,test,2,0,0,10,0,0,0
-2024-04-10-132306.png,train,1,0,0,6,0,0,0
-2024-04-10-132306_png.jpg,train,1,0,0,6,0,0,0
-2024-04-10-132306_png_jpg,train,3,0,0,19,0,0,0
-2024-04-10-133445.png,train,1,0,0,6,0,0,0
-2024-04-10-133445_png,train,1,0,0,6,0,0,0
-2024-04-10-133445_png_jpg,train,3,0,0,16,0,0,0
-2024-04-10-133606.png,train,1,0,0,3,0,0,0
-2024-04-10-133606_png.jpg,train,1,0,0,3,0,0,0
-2024-04-10-133606_png_jpg,train,2,0,0,7,0,0,0
-2024-04-10-133618.png,train,1,0,0,4,0,0,0
-2024-04-10-133618_png.jpg,train,1,0,0,4,0,0,0
-2024-04-10-133618_png_jpg,train,3,0,0,12,0,0,0
