class_id,class_name,split,image_id,annotation_id,file_name,keypoint_index,keypoint_name,source_keypoint_name,x,y,visibility,status
0,Channel,train,108,177,000108.jpg,1,K1,new-point-0,634.367,494.705,2,visible;inside
0,Channel,train,108,177,000108.jpg,2,K2,new-point-1,613.793,494.269,2,visible;inside
0,Channel,train,108,177,000108.jpg,3,K3,new-point-2,614.848,436.94,2,visible;inside
0,Channel,train,108,177,000108.jpg,4,K4,new-point-3,638.17,436.607,2,visible;inside
0,Channel,valid,642,4452,000642.jpg,1,K1,new-point-0,335.265,305.676,2,visible;inside
0,Channel,valid,642,4452,000642.jpg,2,K2,new-point-1,335.365,317.376,2,visible;inside
0,Channel,valid,642,4452,000642.jpg,3,K3,new-point-2,366.469,317.224,2,visible;inside
0,Channel,valid,642,4452,000642.jpg,4,K4,new-point-3,366.059,305.22,2,visible;inside
0,Channel,test,137,1923,000137.jpg,1,K1,new-point-0,443.61,242.642,2,visible;inside
0,Channel,test,137,1923,000137.jpg,2,K2,new-point-1,424.8,242.517,2,visible;inside
0,Channel,test,137,1923,000137.jpg,3,K3,new-point-2,425.004,288.776,2,visible;inside
0,Channel,test,137,1923,000137.jpg,4,K4,new-point-3,443.066,288.776,2,visible;inside
0,Channel,train,289,9290,000289.jpg,1,K1,new-point-0,462.438,453.859,2,visible;inside
0,Channel,train,289,9290,000289.jpg,2,K2,new-point-1,462.328,465.971,2,visible;inside
0,Channel,train,289,9290,000289.jpg,3,K3,new-point-2,488.759,465.751,1,occluded;out_image+out_bbox
0,Channel,train,289,9290,000289.jpg,4,K4,new-point-3,488.539,453.969,1,occluded;out_image+out_bbox
0,Channel,test,477,5277,000477.jpg,1,K1,new-point-0,551.353,334.708,2,visible;out_bbox
0,Channel,test,477,5277,000477.jpg,2,K2,new-point-1,551.424,334.365,2,visible;inside
0,Channel,test,477,5277,000477.jpg,3,K3,new-point-2,578.753,321.422,2,visible;inside
0,Channel,test,477,5277,000477.jpg,4,K4,new-point-3,579.033,334.988,2,visible;out_bbox
0,Channel,valid,44,6649,000044.jpg,1,K1,new-point-0,278.739,338.032,1,occluded;inside
0,Channel,valid,44,6649,000044.jpg,2,K2,new-point-1,291.222,339.904,1,occluded;inside
0,Channel,valid,44,6649,000044.jpg,3,K3,new-point-2,291.442,394.745,2,visible;inside
0,Channel,valid,44,6649,000044.jpg,4,K4,new-point-3,277.937,392.911,2,visible;inside
0,Channel,train,726,8688,000726.jpg,1,K1,new-point-0,525.367,250.508,2,visible;inside
0,Channel,train,726,8688,000726.jpg,2,K2,new-point-1,525.354,260.355,2,visible;inside
0,Channel,train,726,8688,000726.jpg,3,K3,new-point-2,547.639,260.355,2,visible;inside
