md5,sha256,canonical,orig_split,orig_image_id,file_name,source_name,annotation_count
0034054474db138dc347a32932f38d0b,252f3e1e6c009397722d6b2d6fcbc352603fc4147f6be4cb3a782ef62b533875,True,train,348,3335c6b3-082d-4f55-b381-89b6f83418a6_jpg.rf.0e07a06d7af5390b3b52ec70906f2a34.jpg,3335c6b3-082d-4f55-b381-89b6f83418a6.jpg,230
006fa9e8dcc580db3d49230c488c9d28,4516a55f62b9d4c21fade20d3f908058c065c0940be1a696c7fea7722569227f,True,train,320,-2024-04-08-181403_png_jpg.rf.4cb4b045e9e0b4944a2aa747944d109f.jpg,-2024-04-08-181403_png.jpg,5
0078b85d94e46a90d165c7a070483a09,e8c1af19a6c9816dbf715ef148d0fdfb973e12a72015cbd6703fed198135ca45,True,train,589,-2024-04-09-190637_png.rf.a9702f0d75657f7fb27de16966931f9c.jpg,-2024-04-09-190637.png,6
00c96f6556085a75a8f3c54de67832a4,d4f9bca35b242952aa27efdf4ad8b437cc2b291146108f52d58b8496acbd7784,True,train,422,e17dace4-abb1-448e-9bce-f2a36f1a99c4_jpg.rf.63c13776409157987230d63bab7bb4d1.jpg,e17dace4-abb1-448e-9bce-f2a36f1a99c4.jpg,0
022a96b1fcbf8d2bb11247c74ab52890,f203e530814fee20d16381af462cb907a21074ed7cd4d5ceb56df3d0ec75513f,True,train,537,-2024-04-09-190750_png_jpg.rf.5e8d0e8808c8c202f104add236f741b1.jpg,-2024-04-09-190750_png_jpg,6
02b404606c0558ad7848c3a9a0e4eb07,5a76e01b20ea855d31be990ced06fb2555c44c05f21622511c3be25f43e75130,True,train,415,Besi-T-Beam_jpg.rf.e14043232d3996f4ede3b4a74d219cf2.jpg,Besi-T-Beam.jpg,18
02d014d3a4b23625a88a501e366a44df,4d6e5a332aaf1207e4a39d895135940dece657728b41a21158967bd7a0b04cfa,True,train,88,-2024-04-09-190619_png_jpg.rf.facddc2d409eb2b81f55a7d5310eb048.jpg,-2024-04-09-190619_png_jpg,6
0311003423fb5e9b72884cb7c7df3ad6,1d2464eff488c983d65eaebe5762602bb21c699703d0781f3cd0657331713b01,True,train,321,9a4d57a2-0362-4187-bde1-e89688adc324_jpg.rf.198c8b055d92510622e333f0ac833cb2.jpg,9a4d57a2-0362-4187-bde1-e89688adc324.jpg,154
03a45776d93a88fff5febd9f4fc528cb,a330ad58567ebc58154bd1db3db936d62a74f65151e649dfb875139a86532461,True,valid,8,63425d5759c4599a8fe3dca4673630a_png.rf.af036c0c681a68bd2244b171d5b77b91.jpg,63425d5759c4599a8fe3dca4673630a.png,20
03a90c27eb222324f89ac722a8dd54e6,feb8719215a3fbf366d05677c5ec2a60e32bc7fae2177e5c15620870ab214753,True,train,333,-_20230924182518_png_jpg.rf.b0b1d2d55590928255d82cd2385e1113.jpg,-_20230924182518_png_jpg,5
